Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1069,Female,No,2,Graduate,No,7178,0,150.0,360.0,1.0,Rural,Y
LP1070,Female,Yes,0,Graduate,No,3949,1452,187.0,360.0,1.0,Urban,Y
LP1071,Male,Yes,2,Not Graduate,Yes,11971,1360,139.0,180.0,1.0,Semiurban,Y
LP1072,Male,Yes,2,Not Graduate,No,5625,1043,100.0,360.0,1.0,Urban,Y
LP1073,Female,Yes,2,Graduate,No,6386,1562,151.0,180.0,1.0,Rural,Y
LP1074,Female,Yes,2,Graduate,No,11640,889,104.0,360.0,1.0,Semiurban,Y
LP1075,Female,Yes,0,Not Graduate,No,11105,443,225.0,360.0,0.0,Rural,N
LP1076,Female,No,0,Graduate,No,8022,0,143.0,360.0,1.0,Rural,Y
LP1077,Male,No,0,Graduate,No,12666,0,156.0,360.0,1.0,Urban,Y
LP1078,Male,Yes,0,Graduate,No,4989,2587,122.0,360.0,0.0,Urban,N
LP1079,Male,Yes,1,Graduate,No,8024,671,158.0,360.0,1.0,Rural,Y
LP1080,Female,Yes,0,Graduate,No,5003,1368,251.0,360.0,1.0,Rural,Y
LP1081,Male,No,3+,Not Graduate,No,10465,0,234.0,360.0,1.0,Semiurban,Y
LP1082,Male,Yes,1,Not Graduate,No,10326,1913,109.0,360.0,1.0,Rural,Y
LP1083,Male,Yes,2,Graduate,No,13018,3771,66.0,360.0,1.0,Rural,Y
LP1084,,,,Graduate,,7099,0,,,,Urban,Y
LP1085,Male,Yes,2,Not Graduate,Yes,14435,622,143.0,360.0,1.0,Rural,Y
LP1086,Female,No,3+,Graduate,No,4859,0,140.0,360.0,1.0,Rural,Y
LP1087,Male,Yes,0,Not Graduate,No,6961,1104,131.0,360.0,0.0,Urban,N
LP1088,Female,Yes,1,Graduate,No,4920,955,108.0,120.0,0.0,Semiurban,N
LP1089,Male,Yes,2,Graduate,No,7623,853,351.0,180.0,1.0,Urban,Y
LP1090,Male,No,0,Graduate,Yes,5068,0,305.0,360.0,1.0,Urban,Y
LP1091,Female,No,0,Graduate,No,10476,0,138.0,360.0,0.0,Rural,Y
LP1092,Female,No,0,Graduate,No,8424,0,167.0,360.0,0.0,Rural,N
LP1093,Male,Yes,0,Graduate,No,4719,2154,226.0,180.0,0.0,Semiurban,N
LP1094,Female,No,0,Graduate,No,9554,0,167.0,360.0,0.0,Rural,N
LP1095,Male,Yes,0,Graduate,Yes,12315,547,134.0,360.0,1.0,Semiurban,Y
LP1096,Male,Yes,0,Graduate,No,8723,1608,100.0,360.0,1.0,Semiurban,Y
LP1097,Male,No,0,Not Graduate,Yes,4253,0,160.0,360.0,1.0,Semiurban,Y
LP1098,Male,Yes,3+,Not Graduate,No,6722,2337,104.0,360.0,1.0,Semiurban,Y
LP1099,Male,Yes,0,Graduate,No,9137,2117,244.0,360.0,1.0,Rural,Y
LP1100,Male,Yes,3+,Not Graduate,No,6494,1353,158.0,360.0,1.0,Urban,Y
LP1101,Male,Yes,0,Graduate,No,4838,1308,192.0,360.0,1.0,Urban,Y
LP1102,Male,Yes,0,Graduate,No,10931,3000,142.0,360.0,1.0,Rural,Y
LP1103,Male,Yes,0,Not Graduate,No,6394,1642,214.0,360.0,1.0,Rural,Y
LP1104,Female,Yes,0,Graduate,No,12318,1657,127.0,360.0,1.0,Semiurban,Y
LP1105,Male,No,0,Graduate,No,5858,0,177.0,180.0,1.0,Rural,N
LP1106,Male,No,1,Not Graduate,No,6261,0,140.0,360.0,1.0,Urban,Y
LP1107,Female,Yes,0,Graduate,Yes,5697,130,147.0,360.0,1.0,Rural,Y
LP1108,Male,Yes,1,Not Graduate,No,6681,1165,225.0,360.0,0.0,Rural,N
LP1109,Male,Yes,1,Not Graduate,No,8373,1218,122.0,180.0,1.0,Semiurban,Y
LP1110,Male,Yes,0,Graduate,No,4924,1625,182.0,180.0,1.0,Semiurban,Y
LP1111,,,,Not Graduate,,4610,1901,,,,Semiurban,Y
LP1112,Female,Yes,2,Graduate,No,3765,163,222.0,360.0,1.0,Semiurban,Y
LP1113,Female,Yes,0,Graduate,Yes,3618,1928,128.0,360.0,1.0,Urban,Y
LP1114,Male,Yes,0,Graduate,No,4269,1274,191.0,360.0,1.0,Rural,Y
LP1115,Female,Yes,3+,Not Graduate,No,5844,1079,88.0,360.0,1.0,Rural,Y
LP1116,Female,Yes,0,Graduate,No,7573,270,228.0,120.0,1.0,Semiurban,Y
LP1117,Male,No,1,Graduate,Yes,8203,0,391.0,360.0,1.0,Urban,Y
LP1118,Female,No,3+,Graduate,No,7446,0,178.0,60.0,0.0,Urban,N
LP1119,Male,Yes,0,Graduate,No,11766,2136,260.0,180.0,1.0,Rural,Y
LP1120,Female,No,0,Graduate,No,13212,0,99.0,360.0,1.0,Semiurban,Y
LP1121,Female,Yes,0,Graduate,Yes,6405,1676,111.0,120.0,1.0,Rural,Y
LP1122,Male,No,0,Graduate,No,4953,0,142.0,360.0,1.0,Rural,Y
LP1123,Male,No,0,Graduate,No,14796,0,151.0,360.0,1.0,Urban,Y
LP1124,Male,Yes,1,Not Graduate,No,10787,1064,178.0,360.0,1.0,Urban,Y
LP1125,Male,Yes,0,Graduate,No,10483,636,128.0,360.0,1.0,Rural,Y
LP1126,Female,Yes,0,Graduate,No,5761,1318,168.0,360.0,1.0,Semiurban,Y
LP1127,Female,Yes,3+,Not Graduate,No,9643,1269,225.0,360.0,1.0,Semiurban,Y
LP1128,Male,Yes,2,Graduate,Yes,7468,1598,190.0,360.0,1.0,Rural,Y
LP1129,Male,Yes,1,Not Graduate,No,6910,2532,140.0,360.0,1.0,Rural,Y
LP1130,Male,Yes,0,Graduate,No,6906,515,208.0,360.0,1.0,Semiurban,Y
LP1131,Male,No,1,Not Graduate,No,8515,0,138.0,180.0,1.0,Semiurban,Y
LP1132,Male,No,0,Graduate,No,11915,0,164.0,360.0,1.0,Semiurban,Y
LP1133,Male,Yes,0,Graduate,No,15293,2037,221.0,360.0,1.0,Rural,Y
LP1134,Female,Yes,0,Graduate,No,6115,2081,149.0,360.0,1.0,Urban,Y
LP1135,,,,Not Graduate,,7622,905,,,,Semiurban,Y
LP1136,Male,Yes,0,Graduate,No,6847,693,163.0,360.0,1.0,Semiurban,Y
LP1137,Female,No,0,Graduate,No,8307,0,221.0,360.0,1.0,Semiurban,Y
LP1138,Male,Yes,0,Graduate,No,6542,1413,229.0,360.0,0.0,Rural,N
LP1139,Female,Yes,0,Graduate,No,14258,2174,110.0,360.0,1.0,Urban,Y
LP1140,Female,Yes,2,Graduate,No,5526,1192,205.0,120.0,1.0,Urban,Y
LP1141,Male,Yes,1,Graduate,No,6118,111,146.0,360.0,1.0,Semiurban,Y
LP1142,Male,No,2,Not Graduate,No,5791,0,267.0,360.0,1.0,Rural,N
LP1143,Male,No,0,Graduate,No,6727,0,104.0,360.0,1.0,Urban,Y
LP1144,Male,Yes,0,Graduate,No,4373,1892,203.0,360.0,1.0,Rural,Y
LP1145,Male,Yes,0,Graduate,No,5830,1960,141.0,360.0,1.0,Urban,Y
LP1146,Male,Yes,0,Graduate,No,8278,1493,129.0,360.0,0.0,Semiurban,N
LP1147,Male,No,0,Graduate,No,8255,0,224.0,360.0,0.0,Rural,N
LP1148,Male,No,2,Graduate,No,7780,0,238.0,360.0,1.0,Semiurban,Y
LP1149,Male,Yes,0,Graduate,No,11510,899,81.0,360.0,1.0,Urban,Y
LP1150,Female,Yes,0,Graduate,No,8398,649,226.0,180.0,1.0,Urban,Y
LP1151,Male,No,0,Graduate,No,11364,0,156.0,360.0,1.0,Semiurban,Y
LP1152,Male,Yes,0,Not Graduate,No,15297,1490,161.0,360.0,1.0,Urban,Y
LP1153,Male,No,0,Not Graduate,No,9735,0,103.0,360.0,0.0,Semiurban,N
LP1154,Female,Yes,3+,Graduate,No,4380,7704,198.0,360.0,1.0,Semiurban,Y
LP1155,Male,Yes,2,Not Graduate,Yes,7893,3289,354.0,360.0,0.0,Semiurban,N
LP1156,Male,Yes,3+,Graduate,No,7473,798,132.0,360.0,1.0,Urban,Y
LP1157,Female,Yes,0,Graduate,No,12310,536,247.0,360.0,0.0,Rural,N
LP1158,Male,Yes,0,Graduate,No,6815,746,159.0,360.0,1.0,Semiurban,Y
LP1159,Female,No,0,Graduate,No,5261,0,134.0,360.0,1.0,Rural,Y
LP1160,Male,Yes,0,Graduate,No,5950,2645,97.0,120.0,1.0,Urban,Y
LP1161,Male,Yes,2,Graduate,No,4435,3315,260.0,360.0,1.0,Urban,Y
LP1162,Male,Yes,0,Graduate,No,2421,632,166.0,360.0,1.0,Rural,Y
LP1163,Male,Yes,0,Graduate,No,14285,1887,136.0,180.0,1.0,Semiurban,Y
LP1164,Male,Yes,0,Graduate,No,7148,684,144.0,360.0,1.0,Urban,Y
LP1165,Female,Yes,0,Graduate,No,4578,3782,204.0,360.0,1.0,Semiurban,Y
LP1166,Male,No,1,Graduate,No,12746,0,136.0,360.0,0.0,Semiurban,Y
LP1167,Male,Yes,0,Graduate,No,13598,428,114.0,360.0,0.0,Rural,N
LP1168,Male,Yes,0,Not Graduate,No,7566,508,153.0,360.0,1.0,Urban,Y
LP1169,Male,Yes,0,Not Graduate,No,4300,1323,151.0,360.0,1.0,Rural,N
LP1170,Male,No,0,Graduate,No,6002,0,150.0,360.0,1.0,Urban,Y
LP1171,Male,No,2,Not Graduate,No,6552,0,136.0,360.0,1.0,Rural,N
LP1172,Male,No,2,Graduate,No,7236,0,250.0,360.0,1.0,Urban,Y
LP1173,Male,Yes,3+,Graduate,No,4776,983,409.0,180.0,1.0,Urban,Y
LP1174,Male,Yes,2,Graduate,No,10036,883,110.0,360.0,1.0,Urban,Y
LP1175,,,,Graduate,,3222,461,,,,Semiurban,N
LP1176,Male,Yes,1,Not Graduate,No,10654,866,147.0,360.0,1.0,Semiurban,Y
LP1177,Male,Yes,0,Graduate,No,11517,3223,80.0,360.0,1.0,Rural,Y
LP1178,Female,Yes,0,Graduate,Yes,6214,403,94.0,360.0,1.0,Rural,Y
LP1179,Male,Yes,2,Graduate,No,6935,1563,133.0,360.0,1.0,Urban,Y
LP1180,Male,Yes,0,Graduate,No,12077,3272,204.0,120.0,1.0,Urban,Y
LP1181,Male,No,3+,Not Graduate,No,9006,0,146.0,360.0,1.0,Semiurban,Y
LP1182,Female,Yes,0,Graduate,Yes,6294,3895,73.0,360.0,1.0,Semiurban,Y
LP1183,Female,Yes,1,Graduate,No,6564,1674,145.0,360.0,1.0,Semiurban,Y
LP1184,Male,No,1,Graduate,Yes,8533,0,149.0,360.0,1.0,Rural,Y
LP1185,Male,Yes,2,Graduate,No,13763,879,150.0,360.0,1.0,Semiurban,Y
LP1186,Female,No,1,Graduate,No,6638,0,235.0,360.0,1.0,Rural,Y
LP1187,Male,Yes,1,Graduate,No,6225,1190,220.0,180.0,1.0,Semiurban,Y
LP1188,Male,Yes,0,Graduate,Yes,7218,2816,164.0,360.0,1.0,Semiurban,Y
LP1189,Male,No,0,Graduate,No,7233,0,325.0,360.0,1.0,Urban,N
LP1190,Male,No,0,Not Graduate,No,7979,0,132.0,360.0,1.0,Rural,Y
LP1191,Female,No,1,Not Graduate,No,6943,0,152.0,360.0,0.0,Semiurban,N
LP1192,Female,Yes,0,Graduate,No,10898,1336,158.0,360.0,1.0,Urban,Y
LP1193,Male,Yes,1,Graduate,No,5120,3049,96.0,180.0,1.0,Rural,Y
LP1194,Male,Yes,0,Graduate,No,8304,2627,159.0,60.0,1.0,Rural,Y
LP1195,Male,Yes,0,Graduate,No,8425,347,91.0,360.0,1.0,Semiurban,Y
LP1196,Female,No,1,Graduate,No,5280,0,126.0,360.0,1.0,Rural,Y
LP1197,Female,Yes,0,Graduate,No,8273,713,166.0,180.0,1.0,Urban,Y
LP1198,Female,No,0,Graduate,No,8506,0,101.0,360.0,1.0,Urban,Y
LP1199,Female,Yes,0,Graduate,No,2804,375,180.0,360.0,1.0,Rural,Y
LP1200,Male,Yes,3+,Graduate,Yes,4951,1597,119.0,360.0,1.0,Urban,Y
LP1201,Male,Yes,1,Graduate,Yes,12473,3091,140.0,360.0,1.0,Rural,Y
LP1202,Male,No,0,Graduate,No,5723,0,191.0,360.0,1.0,Urban,Y
LP1203,Female,No,0,Graduate,No,4574,0,155.0,180.0,1.0,Rural,Y
LP1204,Male,No,0,Graduate,No,3567,0,178.0,180.0,1.0,Rural,Y
LP1205,Male,No,2,Graduate,No,4792,0,187.0,360.0,1.0,Rural,N
LP1206,Male,No,1,Graduate,No,6836,0,154.0,360.0,1.0,Urban,Y
LP1207,Male,No,0,Graduate,No,4462,0,182.0,180.0,1.0,Rural,N
LP1208,Male,Yes,0,Graduate,No,9050,764,125.0,360.0,1.0,Rural,Y
LP1209,Male,Yes,0,Graduate,Yes,5246,1104,190.0,360.0,1.0,Semiurban,Y
LP1210,Male,Yes,1,Not Graduate,No,8002,1051,147.0,360.0,1.0,Semiurban,Y
LP1211,Male,No,2,Graduate,Yes,11766,0,253.0,360.0,1.0,Rural,Y
LP1212,Male,No,0,Graduate,Yes,11479,0,168.0,360.0,1.0,Semiurban,Y
LP1213,Male,Yes,0,Graduate,No,7951,130,131.0,360.0,1.0,Rural,Y
LP1214,Female,No,0,Graduate,No,4684,0,191.0,360.0,1.0,Semiurban,Y
LP1215,Male,No,3+,Graduate,No,7007,0,257.0,180.0,1.0,Urban,Y
LP1216,Male,Yes,0,Graduate,No,8047,439,135.0,360.0,1.0,Urban,Y
LP1217,Female,Yes,2,Graduate,No,16459,2475,127.0,360.0,1.0,Rural,Y
LP1218,Male,No,1,Not Graduate,No,3556,0,67.0,360.0,1.0,Rural,Y
LP1219,Female,Yes,0,Graduate,Yes,7016,3836,167.0,360.0,1.0,Urban,Y
LP1220,Male,No,0,Graduate,No,8930,0,142.0,360.0,1.0,Urban,Y
LP1221,Male,Yes,0,Not Graduate,No,7425,5643,191.0,360.0,1.0,Semiurban,Y
LP1222,Male,No,1,Graduate,No,7725,0,193.0,360.0,1.0,Rural,Y
LP1223,Male,No,2,Not Graduate,Yes,5358,0,98.0,360.0,1.0,Urban,Y
LP1224,,,,Graduate,,9969,0,,,,Urban,Y
LP1225,Male,Yes,0,Not Graduate,No,7234,941,121.0,360.0,1.0,Rural,Y
LP1226,Female,No,0,Graduate,No,7715,0,135.0,360.0,0.0,Semiurban,N
LP1227,Male,No,3+,Graduate,No,10372,0,74.0,360.0,1.0,Semiurban,Y
LP1228,Female,Yes,2,Graduate,No,6363,402,180.0,360.0,1.0,Semiurban,Y
LP1229,Male,No,0,Graduate,No,11236,0,108.0,60.0,1.0,Semiurban,Y
LP1230,Female,Yes,3+,Graduate,No,4410,1192,128.0,180.0,1.0,Urban,Y
LP1231,Male,Yes,1,Graduate,No,7877,3759,105.0,360.0,1.0,Rural,Y
LP1232,Male,Yes,1,Graduate,No,5241,2243,227.0,360.0,0.0,Rural,N
LP1233,Male,Yes,1,Graduate,No,4765,1414,139.0,360.0,1.0,Urban,Y
LP1234,Male,Yes,2,Graduate,No,13698,871,102.0,360.0,1.0,Urban,Y
LP1235,Female,No,1,Graduate,No,4490,0,104.0,360.0,1.0,Urban,Y
LP1236,Male,Yes,0,Not Graduate,No,7286,1274,213.0,360.0,0.0,Rural,N
LP1237,Male,No,0,Graduate,No,4371,0,118.0,180.0,1.0,Rural,Y
LP1238,Male,Yes,3+,Not Graduate,No,10967,5338,134.0,360.0,1.0,Rural,Y
LP1239,Male,Yes,0,Graduate,No,6134,421,162.0,360.0,1.0,Semiurban,Y
LP1240,Female,Yes,0,Graduate,No,10351,3155,142.0,360.0,1.0,Urban,Y
LP1241,Female,No,0,Graduate,No,8816,0,84.0,360.0,1.0,Urban,Y
LP1242,,,,Graduate,,15445,2239,,,,Urban,Y
LP1243,Male,Yes,1,Graduate,No,4073,1970,146.0,360.0,1.0,Rural,Y
LP1244,Male,No,3+,Graduate,No,4936,0,177.0,360.0,1.0,Urban,Y
LP1245,Female,Yes,0,Graduate,No,10137,5650,204.0,360.0,1.0,Urban,Y
LP1246,Male,Yes,0,Not Graduate,No,8017,5102,79.0,180.0,1.0,Semiurban,Y
LP1247,Female,Yes,0,Graduate,No,6530,742,205.0,360.0,1.0,Rural,Y
LP1248,Female,No,2,Graduate,No,14271,0,374.0,360.0,0.0,Urban,N
LP1249,Female,Yes,1,Graduate,Yes,7101,238,184.0,360.0,1.0,Rural,N
LP1250,Male,No,0,Graduate,No,5311,0,254.0,180.0,0.0,Rural,N
LP1251,Male,Yes,2,Graduate,No,10399,2773,224.0,360.0,0.0,Rural,N
LP1252,Female,No,2,Graduate,No,7188,0,202.0,360.0,1.0,Semiurban,Y
LP1253,Male,No,2,Graduate,No,7393,0,227.0,120.0,1.0,Rural,Y
LP1254,Male,No,3+,Graduate,No,9094,0,242.0,360.0,1.0,Rural,Y
LP1255,,,,Graduate,,9228,1729,,,,Rural,Y
LP1256,Female,No,2,Not Graduate,No,4913,0,104.0,360.0,1.0,Urban,Y
LP1257,Male,Yes,0,Not Graduate,No,6395,478,233.0,180.0,1.0,Semiurban,Y
LP1258,Male,Yes,2,Graduate,No,4241,1195,145.0,360.0,1.0,Urban,Y
LP1259,Male,Yes,1,Graduate,No,8061,941,250.0,360.0,1.0,Semiurban,Y
LP1260,Male,No,2,Graduate,No,13600,0,190.0,360.0,1.0,Semiurban,Y
LP1261,Female,No,1,Not Graduate,No,4984,0,103.0,60.0,0.0,Rural,N
LP1262,Male,No,0,Graduate,No,3977,0,263.0,360.0,1.0,Rural,Y
LP1263,Male,Yes,0,Graduate,No,5614,3778,121.0,360.0,0.0,Urban,N
LP1264,Female,Yes,3+,Graduate,No,6510,448,143.0,120.0,1.0,Semiurban,Y
LP1265,Female,No,3+,Graduate,No,9259,0,288.0,360.0,0.0,Rural,N
LP1266,Male,Yes,0,Graduate,No,6266,2067,168.0,60.0,1.0,Rural,Y
LP1267,Female,Yes,0,Graduate,No,8115,285,141.0,120.0,1.0,Rural,Y
LP1268,Male,Yes,0,Graduate,No,5908,1376,155.0,180.0,1.0,Rural,Y
LP1269,Male,Yes,1,Graduate,No,6639,2716,140.0,360.0,1.0,Urban,Y
LP1270,Female,Yes,2,Graduate,Yes,5249,547,213.0,360.0,0.0,Urban,N
LP1271,Female,Yes,0,Graduate,No,4680,1478,141.0,180.0,1.0,Rural,Y
LP1272,Female,Yes,0,Graduate,No,9384,2584,157.0,60.0,0.0,Rural,N
LP1273,Female,Yes,2,Graduate,No,6055,5463,196.0,360.0,1.0,Rural,Y
LP1274,Male,No,1,Not Graduate,No,8333,0,188.0,180.0,1.0,Rural,N
LP1275,Male,Yes,0,Graduate,No,5220,723,125.0,360.0,1.0,Rural,Y
LP1276,Female,Yes,1,Graduate,No,7118,729,214.0,360.0,1.0,Semiurban,Y
LP1277,Male,No,0,Graduate,No,3245,0,132.0,360.0,1.0,Semiurban,Y
LP1278,Female,Yes,0,Graduate,No,6217,3981,111.0,180.0,0.0,Semiurban,N
LP1279,Female,No,1,Graduate,No,5416,0,86.0,360.0,0.0,Semiurban,N
LP1280,Female,No,1,Graduate,No,10795,0,150.0,360.0,0.0,Rural,Y
LP1281,Male,Yes,2,Not Graduate,No,4431,687,91.0,60.0,0.0,Semiurban,N
LP1282,Male,Yes,1,Graduate,No,6739,1404,119.0,360.0,1.0,Semiurban,Y
LP1283,Male,No,2,Graduate,No,8024,0,159.0,360.0,1.0,Urban,Y
LP1284,Male,No,0,Graduate,No,10215,0,240.0,360.0,1.0,Semiurban,Y
LP1285,Male,Yes,0,Graduate,No,9679,1790,144.0,360.0,0.0,Semiurban,Y
LP1286,Male,Yes,0,Graduate,No,6933,1552,97.0,360.0,1.0,Rural,Y
LP1287,Male,Yes,0,Graduate,Yes,7291,503,153.0,120.0,1.0,Semiurban,Y
LP1288,Male,No,1,Graduate,Yes,10792,0,237.0,360.0,1.0,Semiurban,Y
LP1289,,,,Graduate,,6885,1292,,,,Rural,Y
LP1290,Male,No,0,Graduate,Yes,7576,0,256.0,360.0,1.0,Semiurban,Y
LP1291,Male,Yes,0,Graduate,No,10929,3915,158.0,360.0,0.0,Rural,N
LP1292,Female,Yes,2,Graduate,No,16328,812,205.0,360.0,1.0,Semiurban,Y
LP1293,Male,Yes,0,Graduate,No,7814,355,173.0,360.0,1.0,Urban,Y
LP1294,Male,Yes,1,Not Graduate,No,8599,931,251.0,360.0,1.0,Urban,Y
LP1295,Male,Yes,1,Graduate,No,9570,1084,334.0,360.0,1.0,Semiurban,Y
LP1296,Female,Yes,1,Graduate,No,10888,1262,135.0,360.0,1.0,Urban,Y
LP1297,Male,Yes,0,Graduate,No,10312,1070,169.0,360.0,1.0,Rural,Y
LP1298,Male,No,0,Graduate,No,5744,0,240.0,360.0,0.0,Semiurban,N
LP1299,Male,Yes,2,Graduate,No,8007,1493,175.0,360.0,1.0,Rural,Y
LP1300,Male,Yes,1,Graduate,No,10339,1436,85.0,120.0,1.0,Urban,Y
LP1301,,,,Not Graduate,,11772,0,,,,Rural,Y
LP1302,Male,No,2,Graduate,No,6743,0,174.0,360.0,1.0,Urban,Y
LP1303,Male,No,0,Graduate,Yes,7935,0,279.0,120.0,1.0,Urban,Y
